ID,Reference
20,"Bartels, C. R.; Wilf, M.; Andes, K.; Iong, J. Design Considerations for Wastewater Treatment by Reverse Osmosis. Water Sci. Technol. 2016, 51 (February 2005)."
21,"Bisinella, V., Conradsen, K., Christensen, T.H., Astrup, T.F., 2016. A global approach for sparse representation of uncertainty in Life Cycle Assessments of waste management systems. Int. J. Life Cycle Assess. 21, 378-394. https://doi.org/10.1007/s11367-015-1014-4"
22,"Boldrin, A., Andersen, J.K., Moller, J., Christensen, T.H., Favoino, E., 2009. Composting and compost utilization: Accounting of greenhouse gases and global warming contributions. Waste Manag. Res. 27, 800-812. https://doi.org/10.1177/0734242X09345275"
23,"Bonan, G.B. (2019). Soil Moisture. Climate Change and Terrestrial Ecosystem Modeling, 74(1), 115-133."
24,"Breitenbeck, G.A., Schellinger, D., 2004. Calculating the reduction in material mass and volume during composting. Compost Sci. Util. 12, 365-371"
25,"CalReycle (2020). Construction and Demolition Waste Stream Composition Calculator. https://www2.calrecycle.ca.gov/WasteCharacterization/General/ConDemoCalculator Accessed: September 1, 2020."
26,"Campos Pereira, H.; Ullberg, M.; Kleja, D. B.; Gustafsson, J. P.; Ahrens, L. Sorption of Perfluoroalkyl Substances (PFASs) to an Organic Soil Horizon - Effect of Cation Composition and pH. Chemosphere 2018, 207, 183-191"
27,"Cascadia Consulting Group (2006). Targeted Statewide Waste Characterization Study: Detailed Characterization of Construction and Demolition Waste. https://www2.calrecycle.ca.gov/Publications/Details/1185 Accessed: September 1, 2020."
28,"Clements, M., (2002). Granular Activated Carbon Management at a Water Treatment Plant. (Magister Dissertation), Rand Afrikaans University."
29,"Dudley, L.A., E.C. Arevalo, and D.R.U. Knappe. Removal of perfluoroalkyl substances by PAC adsorption and anion exchange. Water Research Foundation: Denver, Colorado, 2015."
30,"Herzke, D.; Huber, S.; Bervoets, L.; D'Hollander, W.; Hajslova, J.; Pulkrabova, J.; Brambilla, G.; De Filippis, S. P.; Klenow, S.; Heinemeyer, G.; et al. Perfluorinated Alkylated Substances in Vegetables Collected in Four European Countries; Occurrence and Human Exposure Estimations. Environ. Sci. Pollut. Res. 2013, 20 (11), 7930-7939."
31,"Hogue, C. (2020). Incineration may spread, not break down PFAS. Chemical & Engineering News, April 27, 2020. https://cen.acs.org/environment/persistent-pollutants/Incincerators-spread-break-down-PFAS/98/web/2020/04 Accessed: July 13, 2020."
32,"Holzer, J.; Goen, T.; Just, P.; Reupert, R.; Rauchfuss, K.; Kraft, M.; Mller, J.; Wilhelm, M. Perfluorinated Compounds in Fish and Blood of Anglers at Lake Mohne, Sauerland Area, Germany. Environ. Sci. Technol. 2011, 45 (19), 8046-8052."
33,"Horst, J.; McDonough, J.; Ross, I.; Houtz, E. Understanding and Managing the Potential By-Products of PFAS Destruction. Groundw. Monit. Remediat. 2020, 40 (2), 17-27"
34,"Houtz, E., Wang, M., & Park, J. S. (2018). Identification and Fate of Aqueous Film Forming Foam Derived Per- and Polyfluoroalkyl Substances in a Wastewater Treatment Plant. Environmental Science and Technology, 52(22), 13212-13221. https://doi.org/10.1021/acs.est.8b04028"
35,"Hoisaeter, A.; Pfaff, A.,; Breedveld, G. D. (2019). Leaching and transport of PFAS from aqueous film-forming foam (AFFF) in the unsaturated soil at a firefighting training facility under cold climatic conditions. Journal of Contaminant Hydrology, 222(February), 112-122. https://doi.org/10.1016/j.jconhyd.2019.02.010"
36,"Intergovernmental Panel on Climate Change (IPCC). 2006 IPCC Guidelines for National Greenhouse Gas Inventories; Cambridge University Press: Cambridge, U.K., 2006."
37,"Jaunich, M.K., Levis, J.W., DeCarolis, J.F., Gaston, E. V., Barlaz, M.A., Bartelt-Hunt, S.L., Jones, E.G., Hauser, L., Jaikumar, R., 2016. Characterization of municipal solid waste collection operations. Resour. Conserv. Recycl. 114, 92-102. https://doi.org/10.1016/j.resconrec.2016.07.012"
38,"Kotthoff, M., Muller, J., Jurling, H., Schlummer, M., & Fiedler, D. (2015). Perfluoroalkyl and polyfluoroalkyl substances in consumer products. Environmental Science and Pollution Research, 22(19), 14546-14559. https://doi.org/10.1007/s11356-015-4202-7"
39,"Kwiatkowski et al. (2020). Scientific Basis for Managing PFAS as a Chemical Class, Env Sci technol Letters 7, 8, p. 532-43.  "
40,"Lang, J. R., Allred, B. M., Peaslee, G. F., Field, J. A. and M. A. Barlaz, M. A., 2016, Release of Per- and polyfluoroalkyl Substances (PFASs) from Carpet and Clothing in Model Anaerobic Landfill Reactors, Env. Sci. Technol, 50, 5024-32. "
41,"Lang, J. R., Allred, B. M. K., Field, J. A., Levis, J. W., & Barlaz, M. A. (2017). National Estimate of Per- and Polyfluoroalkyl Substance (PFAS) Release to U.S. Municipal Landfill Leachate. Environmental Science and Technology, 51(4), 2197-2205. https://doi.org/10.1021/acs.est.6b05005"
42,"Levis, J. W.; Barlaz, M. A. (2013). Composting Process Model Documentation; Internal Report; North Carolina State University: Raleigh, NC, http://go.ncsu.edu/swolf_composting Acessed: September 1, 2020."
43,"Loganathan, B. G., Sajwan, K. S., Sinclair, E., Senthil Kumar, K., & Kannan, K. (2007). Perfluoroalkyl sulfonates and perfluorocarboxylates in two wastewater treatment facilities in Kentucky and Georgia. Water Research, 41(20), 4611-4620. https://doi.org/10.1016/j.watres.2007.06.045"
44,"Loos, R.; Carvalho, R.; Antonio, D. C.; Comero, S.; Locoro, G.; Tavazzi, S.; Paracchini, B.; Ghiani, M.; Lettieri, T.; Blaha, L.; et al. EU-Wide Monitoring Survey on Emerging Polar Organic Contaminants in Wastewater Treatment Plant Effluents. Water Res. 2013, 47 (17), 6475-6487"
45,"Mahinroosta, R., & Senevirathna, L. (2020). A review of the emerging treatment technologies for PFAS contaminated soils. Journal of Environmental Management, 255(June 2019), 109896. https://doi.org/10.1016/j.jenvman.2019.109896"
46,"Masoner, J. R., Kolpin, D. W., Cozzarelli, I. M., Smalling, K. L., Bolyard, S. C., Field, J. A., Bradley, P. M. (2020). Landfill leachate contributes per-/poly-fluoroalkyl substances (PFAS) and pharmaceuticals to municipal wastewater. Environmental Science: Water Research and Technology, 6(5), 1300-1311. https://doi.org/10.1039/d0ew00045k"
47,"McCuen, Richard H.,Hydrologic Analysis and Design, 2nd Ed, Upper Saddle River, NJ, 1998."
48,"Natural Resource, Agriculture, and Engineering Service (NRAES) (1998) Composting for municipalities: Planning and Design Considerations; NRAES-94: Ithaca, New York, 1998"
49,"National Council for Air and Stream Improvement (NCASI). (2020). Review of Models for Evaluating Per- and Polyfluoroalkyl Substances in Residual and Biosolids. Cary, NC. https://www.ncasi.org/wp-content/uploads/2020/03/Arcadis-PFAS-Residuals-Modeling-v1-1.pdf Accessed: July 13, 2020. "
50,"New England Waste Services of Vermont (NEWSV). (2019). PFAS Waste Source Testing Report. File No. 4536.00, https://anrweb.vt.gov/PubDocs/DEC/SolidWaste/OL510/OL510%202019.10.15%20NEWSVT%20PFAS%20Source%20Testing%20Rpt%20-%20Final.pdf Accessed: September 1, 2020"
51,"Noorlander, C. W.; S. P. J. Van Leeuwen, J. D. Te Biesebeek, M. J. B. Mengelers, and M. J. Zeilmaker, Levels of perfluorinated compounds in food and dietary intake of PFOS and PFOA in the Netherlands, J. Agric. Food Chem., vol. 59, no. 13, pp. 7496-7505, 2011."
52,"Oleszkiewicz, J. A.; Mavinic, D. S. Wastewater Biosolids: An Overview of Processing, Treatment, and Management. Can. J. Civ. Eng. 2001, 28 (1), 102-114"
53,"Rahman, M. F.; Peldszus, S.; Anderson, W. B. Behavior and Fate of Perfluoroalkyl and Polyfluoroalkyl Substances (PFASs) in Drinking Water Treatment: A Review. Water Res. 2014, 50, 318-340"
54,"Sandblom, O. Waste Incineration as a Possible Source of Perfluoroalkyl Acids to the Environment - Method Development and Screening. Master thesis (ACES Stockholm Universitet, 2014)."
55,"Solo-Gabriele, H. M., Jones, A. S., Lindstrom, A. B., & Lang, J. R. (2020). Waste type, incineration, and aeration are associated with per- and polyfluoroalkyl levels in landfill leachates. Waste Management, 107(May 2016), 191-200. https://doi.org/10.1016/j.wasman.2020.03.034  "
56,"Sorengard, M., Kleja, D. B., & Ahrens, L. (2019). Stabilization and solidification remediation of soil contaminated with poly- and perfluoroalkyl substances (PFASs). Journal of Hazardous Materials, 367 (December 2018), 639-646. https://doi.org/10.1016/j.jhazmat.2019.01.005"
57,"Taylor, P. H.; Yamada, T.; Striebich, R. C.; Graham, J. L.; Giraud, R. J. Investigation of Waste Incineration of Fluorotelomer-Based Polymers as a Potential Source of PFOA in the Environment. Chemosphere 2014, 110, 17-22."
58,"Tiwary, A. R. (2016). Landfill Volume Gain from the Diversion of Construction and Demolition Waste. (MS Thesis), University of Texas at Arlington."
59,"Uggetti, E.; Ferrer, I.; Nielsen, S.; Arias, C.; Brix, H.; Garcia, J. Characteristics of Biosolids from Sludge Treatment Wetlands for Agricultural Reuse. Ecol. Eng. 2012, 40, 210-216"
60,"US Department of Agriculture (USDA). (2008). Soil Quality Indicators: Bulk Density. June 2008, https://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/nrcs142p2_053256.pdf Acessed;September 1, 2020.  "
61,"US Environmental Protection Agency (USEPA). (2001). Class I Underground Injection Control Program: Study of the Risks Associated with Class I Underground Injection Wells. EPA 816-R-01-007, Washington, D.C."
62,"Eftoda, G., & McCartney, D. (2004). Determining the critical bulking agent requirement for municipal biosolids composting. Compost Science and Utilization, 12(3), 208-218. https://doi.org/10.1080/1065657X.2004.10702185"
63,"Wu, M.R., Schott, D.L., Lodewijks, G., 2011. Physical properties of solid biomass. Biomass and Bioenergy 35, 2093-2105. https://doi.org/10.1016/j.biombioe.2011.02.020"
64,"US Environmental Protection Agency (USEPA) (2003) A Laboratory Study to Investigate Gaseous Emissions and Solids Decomposition During Composting of Municipal Solid Wastes EPA-600/R-03-004; U.S. EPA, Office of Solid Waste: Washington, DC, 2003"
65,"Yang, F.; Li, G. X.; Yang, Q. Y.; Luo, W. H. Effect of Bulking Agents on Maturity and Gaseous Emissions during Kitchen Waste Composting. Chemosphere 2013, 93 (7), 1393-1399"
66,"Zhang, R.; El-Mashad, H. M.; Hartman, K.; Wang, F.; Liu, G.; Choate, C.; Gamble, P. Characterization of Food Waste as Feedstock for Anaerobic Digestion. Bioresour. Technol. 2007, 98 (4), 929-935"
